,name,star_val,dinner_price,lunch_price,url
29,鈴むら 本店,3.36,"￥5,000～￥5,999",-,https://tabelog.com/tokyo/A1322/A132201/13064731/
28,山源,3.30,"￥3,000～￥3,999",-,https://tabelog.com/tokyo/A1322/A132201/13025646/
37,龍王,3.26,-,～￥999,https://tabelog.com/tokyo/A1322/A132201/13050489/
33,粒粒香,3.23,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1322/A132201/13210673/
3,平家,3.19,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1322/A132201/13094428/
17,華興,3.12,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1322/A132201/13008790/
19,亀鶴食堂,3.10,-,～￥999,https://tabelog.com/tokyo/A1322/A132201/13081634/
14,サンキュー,3.08,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1322/A132201/13065863/
36,珍來,3.08,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1322/A132201/13065935/
4,喜多方屋 本店,3.08,-,～￥999,https://tabelog.com/tokyo/A1322/A132205/13022991/
27,洋庖丁 板橋店,3.07,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1322/A132201/13008895/
20,山幸,3.07,-,～￥999,https://tabelog.com/tokyo/A1322/A132201/13193826/
35,破天荒,3.06,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13200437/
12,18番,3.06,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13062625/
13,十八番,3.06,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13062623/
15,政屋,3.06,"￥1,000～￥1,999",-,https://tabelog.com/tokyo/A1322/A132201/13123672/
8,森よし,3.06,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1322/A132201/13150368/
6,点心,3.06,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1322/A132201/13059270/
40,中華料理 萬来軒,3.06,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13031456/
31,徳栄,3.05,"￥2,000～￥2,999",～￥999,https://tabelog.com/tokyo/A1322/A132201/13174921/
30,光陽楼,3.05,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13122857/
39,やまごや,3.05,"￥3,000～￥3,999",-,https://tabelog.com/tokyo/A1322/A132201/13212755/
22,奉天鉄鍋餃子,3.05,"￥2,000～￥2,999",～￥999,https://tabelog.com/tokyo/A1322/A132201/13048930/
10,げんかや 板橋店,3.05,"￥2,000～￥2,999",-,https://tabelog.com/tokyo/A1322/A132201/13046018/
18,亜細亜,3.04,"￥3,000～￥3,999",～￥999,https://tabelog.com/tokyo/A1322/A132201/13062539/
38,博多ラーメン長浜や 新板橋店,3.04,-,～￥999,https://tabelog.com/tokyo/A1322/A132201/13225411/
1,大衆酒場 さくら屋,3.04,"￥3,000～￥3,999",-,https://tabelog.com/tokyo/A1322/A132201/13150999/
26,香辣妹子,3.03,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13170248/
24,陳馬家,3.03,～￥999,"￥2,000～￥2,999",https://tabelog.com/tokyo/A1322/A132205/13039621/
32,五味香,3.03,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13021483/
16,全家福,3.03,"￥3,000～￥3,999",～￥999,https://tabelog.com/tokyo/A1322/A132201/13033693/
34,日高屋 板橋駅西口店,3.03,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13211314/
11,福しん 下板橋店,3.03,～￥999,"￥3,000～￥3,999",https://tabelog.com/tokyo/A1322/A132201/13113539/
5,居酒屋 土間土間 板橋店,3.01,"￥2,000～￥2,999",-,https://tabelog.com/tokyo/A1322/A132201/13057380/
25,新門,3.00,-,～￥999,https://tabelog.com/tokyo/A1322/A132201/13105923/
23,ハトヤ,3.00,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13062540/
21,中国家常菜 同心房,3.00,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13025643/
7,味香春,3.00,"￥2,000～￥2,999",-,https://tabelog.com/tokyo/A1322/A132201/13047224/
2,手羽だるま 板橋店,,-,-,https://tabelog.com/tokyo/A1322/A132201/13230719/
9,しめちこちゃん,,"￥2,000～￥2,999",～￥999,https://tabelog.com/tokyo/A1322/A132201/13147264/
